"name","price","image__001","image__002","image__003","image__004","image__005","image__006","description","description_detail__001","description_detail__002"
"Laptop Lenovo Slim 7 Pro 14IHU5 O 82NH00BCVN (14"" Intel Core i5-11320H/16GB/512GB SSD/Onboard/Windows 11 Home/1.4kg)","20.290.000₫","https://lh3.googleusercontent.com/eBTA_R_77-7quAmfPAUfh0Mf5xV8gokNzc72SymBU1SMASGIHtcCMfmliRb3TMgT1jf_w417YJXn2vddUTW7YxQ8qmFbSeEq=rw","https://lh3.googleusercontent.com/KuAMoqinZqeW-KeYVeOhwVajZWRs8-utkGD3bsITjbbD8PmStl9NBTlGjoklG68ShK7ePFPbq5tEb5zyANXumNc6BKnCYUAf=rw","https://lh3.googleusercontent.com/patOFS_9rqCSQNmNQq83Tcm3U7K75rUcJtxHTop_K_kTAQbr7nfAaidmvIopsv2e0KwsxnpSxkBrlDPhYOrUo_QyM7uuhMdUpw=rw","https://lh3.googleusercontent.com/5_RBSpfWVeUswJ1ZsUNnvWWelei3ggLmknNaXzzpghKfUB1JYTNMg8P4ZuH3x-I0waZiZ52xxnBO91ivMTNHCMiRfvwdDCF1dQ=rw","","","- CPU: Intel Core i5-11320H\n- Màn hình: 14"" OLED (2880 x 1800)\n- RAM: 16GB Onboard DDR4x 4266MHz\n- Đồ họa: Onboard Intel Iris Xe Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home\n- Pin: 4 cell 61 Wh Pin liền\n- Khối lượng: 1.4kg","Thương hiệu","Lenovo"
"","","","","","","","","","Bảo hành","36"
"","","","","","","","","","Series laptop","Yoga"
"","","","","","","","","","Part-number","82NH00BCVN"
"","","","","","","","","","Màu sắc","Xám"
"","","","","","","","","","Nhu cầu","Gaming, Doanh nhân, Đồ họa - Kỹ thuật"
"","","","","","","","","","Thế hệ CPU"," Core i5 , Intel Core thế hệ thứ 11 "
"","","","","","","","","","CPU"," Intel Core i5-11320H ( 3.2 GHz - 4.5 GHz / 8MB / 4 nhân, 8 luồng )"
"","","","","","","","","","Chip đồ họa"," Onboard  Intel Iris Xe Graphics "
"","","","","","","","","","RAM"," 16GB Onboard  DDR4x  4266MHz "
